date,hub_name,price_with_vat,price_without_vat
2017-08-22,TTF,7617.99,6348.32
2017-08-22,Gaspool,7580.39,6316.99
2017-08-22,NCG,7591.67,6326.39
2017-08-22,CEGH,7775.89,6479.91
2017-08-23,TTF,7750.92,6459.1
2017-08-23,Gaspool,7551.42,6292.85
2017-08-23,NCG,7777.26,6481.05
2017-08-23,CEGH,7837.49,6531.24
2017-08-28,TTF,7869.05,6557.54
2017-08-28,NCG,7831.18,6525.98
2017-08-29,TTF,7817.39,6514.49
2017-08-29,Gaspool,7821.21,6517.67
2017-08-29,NCG,7886.2,6571.83
2017-08-29,CEGH,8004.71,6670.59
2017-08-30,TTF,8017.16,6680.97
2017-08-30,Gaspool,7832.31,6526.92
2017-08-30,NCG,7967.1,6639.25
2017-08-30,CEGH,8009.46,6674.55
2017-08-31,TTF,7785.35,6487.79
2017-08-31,Gaspool,7881.09,6567.57
2017-08-31,NCG,7804.5,6503.75
2017-08-31,CEGH,8172.14,6810.12
2017-09-01,TTF,7820.65,6517.21
2017-09-01,Gaspool,7809.2,6507.67
2017-09-01,NCG,7858.82,6549.02
2017-09-01,CEGH,8141.31,6784.42
2017-09-04,TTF,7912.51,6593.76
